loan_id,age,income,loan_amount,credit_score,default
1001,64,,11515,360,0
1002,35,,26673,713,0
1003,68,,11267,449,0
1004,63,,11561,306,1
1005,46,,19316,426,0
1006,60,,1773,355,0
1007,32,,10503,556,1
1008,42,,26171,470,0
1009,18,,-2512,430,0
1010,33,,25854,354,0
1011,27,,21495,380,1
1012,55,,-7498,651,1
1013,39,,5228,486,0
1014,58,,20529,715,0
1015,68,,11176,745,0
1016,59,,13913,541,0
1017,28,,27839,301,1
1018,42,,12787,484,0
1019,32,,21358,523,1
1020,40,,7470,466,1
1021,61,,40387,568,0
1022,58,,27213,758,1
1023,19,,31309,567,0
1024,26,,10918,645,0
1025,21,,7850,599,0
1026,44,,-4010,589,0
1027,49,,21699,462,0
1028,61,,14032,647,0
1029,43,,20077,419,0
1030,40,,28326,786,1
1031,41,,16424,652,0
1032,18,,14255,607,1
1033,33,,24098,471,0
1034,21,,10278,651,0
1035,20,,15777,329,1
1036,61,,14530,539,0
1037,38,,11879,591,0
1038,35,,21885,471,0
1039,61,,23261,516,0
1040,43,,27218,513,1
1041,51,,11190,661,0
1042,56,,23925,600,0
1043,21,,17980,356,1
1044,44,,3761,374,0
1045,40,,11302,310,0
1046,48,,8823,723,0
1047,44,,13947,375,0
1048,18,,10568,503,0
1049,31,,10257,832,0
1050,36,,3352,632,0
1051,65,,21983,357,0
1052,35,36439.0,10285,398,0
1053,39,42123.0,12067,776,0
1054,58,39130.0,2534,720,0
1055,61,63409.0,4592,668,0
1056,42,47391.0,8355,438,0
1057,59,49970.0,14190,506,0
1058,68,38518.0,13699,625,1
1059,64,93872.0,27254,350,0
1060,22,58880.0,13367,399,0
1061,20,48140.0,18445,679,1
1062,63,66264.0,5758,384,1
1063,22,40405.0,10991,723,0
1064,45,75793.0,7377,407,0
1065,47,46392.0,17961,785,0
1066,43,45975.0,11560,521,0
1067,23,35591.0,9662,632,1
1068,48,43082.0,-797,791,0
1069,29,4424.0,10288,795,0
1070,22,31855.0,23683,479,0
1071,69,74820.0,13444,476,0
1072,23,56006.0,17720,320,0
1073,22,49879.0,22071,634,0
1074,45,23082.0,21907,356,0
1075,60,52134.0,14559,405,0
1076,50,67174.0,6407,493,0
1077,48,30819.0,-224,666,0
1078,38,34115.0,2618,763,1
1079,28,12872.0,19786,836,0
1080,25,50526.0,-768,655,1
1081,29,70145.0,24917,510,0
1082,61,49708.0,-43,529,1
1083,38,40251.0,24627,397,0
1084,67,38900.0,10840,767,0
1085,58,65569.0,20237,729,0
1086,61,18464.0,9967,473,0
1087,57,35816.0,10952,678,0
1088,48,60606.0,21923,330,0
1089,39,53893.0,20036,551,0
1090,19,71099.0,13474,365,0
1091,51,48636.0,8939,830,0
1092,46,49485.0,22823,695,1
1093,68,58038.0,26404,479,0
1094,38,43603.0,9814,544,0
1095,41,51206.0,25210,708,1
1096,47,70198.0,23438,351,0
1097,34,72557.0,14527,641,0
1098,67,36717.0,16004,499,0
1099,58,53924.0,20061,777,0
1100,48,73795.0,7313,700,0
1101,62,80177.0,21024,824,0
1102,42,72155.0,7609,614,0
1103,37,45820.0,4353,489,0
1104,61,54433.0,11623,623,0
1105,20,49529.0,9373,575,1
1106,61,23150.0,23009,385,1
1107,32,47540.0,18333,482,0
1108,36,69425.0,9583,537,0
1109,64,39523.0,17742,705,1
1110,56,78050.0,13864,715,0
1111,51,25465.0,9791,698,0
1112,47,52406.0,21168,737,0
1113,64,75161.0,157,721,1
1114,27,35089.0,6199,832,0
1115,42,40121.0,17713,814,0
1116,29,44904.0,6879,826,0
1117,46,60793.0,9909,748,0
1118,24,36447.0,18305,736,1
1119,51,52423.0,26176,786,0
1120,68,59878.0,29060,590,0
1121,55,31444.0,11886,370,0
1122,27,60913.0,26080,729,1
1123,65,41717.0,12477,458,0
1124,60,71262.0,6446,524,0
1125,47,59235.0,13299,563,0
1126,67,64216.0,17679,345,0
1127,20,33782.0,28392,810,0
1128,59,69738.0,19680,803,0
1129,25,64380.0,16722,409,0
1130,63,48061.0,29586,626,0
1131,67,58886.0,13969,591,0
1132,36,48369.0,6469,833,0
1133,29,68902.0,11073,324,0
1134,63,18083.0,-276,342,0
1135,29,47934.0,16261,549,1
1136,68,65271.0,7859,652,1
1137,58,35258.0,12687,738,0
1138,30,62272.0,18681,699,0
1139,68,71408.0,20304,797,0
1140,50,61269.0,20181,816,0
1141,55,32309.0,28916,841,0
1142,34,41318.0,14858,627,0
1143,67,39632.0,11718,695,0
1144,63,51704.0,21640,823,0
1145,55,63931.0,17302,741,1
1146,34,50840.0,7320,392,0
1147,30,33096.0,11092,346,0
1148,62,56647.0,16226,353,0
1149,36,47109.0,666,566,0
1150,43,42677.0,17551,669,0
1151,35,38773.0,20354,390,0
1152,66,15476.0,26752,821,0
1153,45,55283.0,23377,477,1
1154,48,19493.0,9318,392,0
1155,48,31644.0,23605,650,0
1156,25,46657.0,19859,485,0
1157,38,29842.0,22681,485,0
1158,67,67264.0,16794,718,0
1159,26,60277.0,5151,342,0
1160,47,36824.0,-2255,840,1
1161,22,66755.0,15293,657,0
1162,57,42684.0,9494,637,0
1163,19,39263.0,21285,805,1
1164,34,78864.0,26402,334,0
1165,53,43043.0,31263,598,1
1166,30,46150.0,8788,674,0
1167,44,38647.0,19434,763,0
1168,37,47016.0,12298,540,0
1169,65,58718.0,11239,620,0
1170,38,59550.0,17768,671,0
1171,31,63070.0,25830,684,0
1172,21,23874.0,10723,642,0
1173,66,56581.0,8493,673,1
1174,33,35335.0,28951,646,0
1175,30,76223.0,14543,673,0
1176,64,26021.0,3706,548,0
1177,51,44158.0,17696,339,0
1178,41,56778.0,9424,732,1
1179,28,41321.0,10213,806,0
1180,33,59214.0,6805,421,0
1181,27,53698.0,4728,380,1
1182,23,63953.0,9658,762,0
1183,60,51776.0,18738,334,0
1184,24,61130.0,15179,735,0
1185,65,57686.0,8313,791,0
1186,58,42296.0,20953,716,0
1187,29,67993.0,16649,574,0
1188,21,37483.0,-1110,745,0
1189,64,40138.0,13998,529,0
1190,56,86113.0,11228,590,0
1191,60,8844.0,12612,386,1
1192,23,45550.0,8020,631,0
1193,48,53314.0,10043,683,0
1194,68,56891.0,11587,377,0
1195,46,42924.0,19298,480,1
1196,31,65114.0,19651,847,0
1197,58,60492.0,11025,336,0
1198,22,41985.0,20001,801,0
1199,45,43666.0,27159,791,0
1200,38,36200.0,21037,750,0
1201,47,56064.0,34690,500,0
1202,63,34539.0,6006,491,0
1203,69,61641.0,16439,548,1
1204,51,37795.0,12730,753,0
1205,33,48770.0,26656,607,0
1206,49,36974.0,5332,648,0
1207,54,63325.0,21450,395,0
1208,29,30493.0,15360,823,0
1209,19,49460.0,-1967,397,0
1210,50,46806.0,7605,361,0
1211,62,32052.0,16234,744,1
1212,67,42456.0,22495,485,0
1213,60,52425.0,22958,682,1
1214,28,58840.0,7935,749,0
1215,22,44853.0,21848,479,0
1216,65,27799.0,9443,685,0
1217,32,39603.0,11002,405,1
1218,34,69031.0,19889,781,0
1219,25,53507.0,18260,644,0
1220,58,64800.0,12227,480,0
1221,37,54560.0,4844,452,0
1222,25,71262.0,9130,639,0
1223,28,38597.0,17788,311,0
1224,21,71617.0,7692,343,0
1225,36,77014.0,12675,676,0
1226,32,65329.0,9459,547,0
1227,29,41351.0,21906,357,0
1228,25,61875.0,8827,457,0
1229,26,68211.0,-888,327,0
1230,23,46614.0,4401,689,0
1231,60,55560.0,-1422,620,0
1232,53,62104.0,18750,371,0
1233,68,57690.0,26795,338,0
1234,25,38030.0,20490,809,0
1235,68,52244.0,860,323,0
1236,42,43774.0,628,398,0
1237,65,58723.0,27681,318,0
1238,19,43856.0,17968,412,0
1239,45,65664.0,11974,448,1
1240,53,64029.0,4387,607,0
1241,62,38468.0,21197,839,0
1242,33,57468.0,32031,827,1
1243,51,37586.0,28810,440,0
1244,56,31597.0,9451,524,0
1245,65,36269.0,14612,653,0
1246,20,63138.0,17190,308,0
1247,24,53738.0,24211,419,0
1248,28,63965.0,13343,549,0
1249,59,43011.0,19293,582,0
1250,58,24590.0,6965,301,0
1251,35,67960.0,9272,424,1
1252,41,26660.0,2504,384,0
1253,32,60796.0,24444,494,0
1254,24,44916.0,9807,311,0
1255,39,9581.0,13617,442,0
1256,24,56708.0,22855,776,0
1257,66,55063.0,14902,560,0
1258,57,44145.0,6715,754,0
1259,31,57498.0,3993,752,0
1260,53,80685.0,12511,464,0
1261,64,57210.0,9816,726,0
1262,66,39092.0,21310,422,1
1263,33,76326.0,21873,332,0
1264,54,25047.0,27131,678,0
1265,63,57308.0,17461,369,0
1266,21,48213.0,10280,514,0
1267,43,30290.0,13128,417,0
1268,20,38210.0,14525,756,0
1269,20,45739.0,10388,720,0
1270,35,49151.0,24918,414,0
1271,23,62217.0,15972,612,0
1272,30,64957.0,17950,816,0
1273,31,53261.0,5260,502,0
1274,62,44891.0,22157,384,0
1275,66,44235.0,18704,454,1
1276,34,65159.0,15535,822,0
1277,52,33319.0,26529,662,1
1278,45,41231.0,8994,344,0
1279,33,58782.0,13041,400,0
1280,61,68464.0,8072,511,0
1281,23,48395.0,16351,506,0
1282,18,66815.0,12644,440,0
1283,40,50053.0,13203,600,0
1284,23,39022.0,16166,380,0
1285,57,39669.0,14260,546,0
1286,40,62562.0,3415,802,0
1287,21,69836.0,8453,679,0
1288,57,68710.0,15858,467,0
1289,44,62268.0,10612,454,0
1290,64,18498.0,-33,592,0
1291,20,55036.0,10301,723,0
1292,58,45812.0,5423,371,0
1293,52,45697.0,2375,529,0
1294,61,52551.0,-1104,454,0
1295,28,63824.0,15485,523,0
1296,18,58777.0,14497,582,1
1297,29,62499.0,10041,710,0
1298,25,44103.0,14433,427,0
1299,58,42117.0,16842,452,0
1300,59,24022.0,17302,630,1
1301,46,9499.0,15847,707,1
1302,56,48988.0,21614,443,1
1303,57,63754.0,17677,464,0
1304,23,66866.0,14531,733,0
1305,69,44324.0,21361,357,1
1306,50,63200.0,25245,711,0
1307,63,40412.0,19913,401,0
1308,24,60084.0,21472,383,0
1309,41,75808.0,19554,845,0
1310,45,38346.0,12260,383,0
1311,66,57305.0,7658,562,0
1312,47,54923.0,18548,792,1
1313,45,49857.0,19928,722,0
1314,63,64330.0,11430,331,0
1315,56,30440.0,5052,595,1
1316,68,46972.0,40503,606,1
1317,20,65342.0,25908,473,1
1318,42,49407.0,13480,520,0
1319,53,43054.0,3460,345,0
1320,43,38600.0,16169,793,0
1321,31,51582.0,18820,578,0
1322,66,37248.0,25345,566,0
1323,36,33490.0,21806,468,0
