customer_id,signup_date,age,gender,city,education_level,employment_status,monthly_income,monthly_bill,internet_usage_gb,call_minutes,contract_type,support_tickets,customer_feedback,churn
10001,2019-01-01,65,Male,Multan,Bachelor,Employed,57643.0,10049.0,5.8,52.0,6-Month,1,Coverage is poor in my location,0
10002,2019-01-02,22,Female,Peshawar,Master,Employed,18207.0,2752.0,11.9,22.0,6-Month,2,Billing issues occurred multiple times,0
10003,2019-01-03,43,Male,Gujranwala,Secondary,Employed,13075.0,3155.0,40.0,87.0,Monthly,0,Billing issues occurred multiple times,0
10004,2019-01-04,21,Male,Lahore,Secondary,Employed,38890.0,5859.0,8.5,147.0,6-Month,2,Customer support was helpful,0
10005,2019-01-05,37,Female,Hyderabad,Primary,Employed,17475.0,5106.0,3.3,183.0,12-Month,0,Coverage is poor in my location,0
10006,2019-01-06,41,Female,Sialkot,Bachelor,Employed,36314.0,6663.0,23.8,88.0,Monthly,3,Customer support was helpful,1
10007,2019-01-07,57,Female,Multan,PhD,Unemployed,53181.0,6146.0,18.2,218.0,Monthly,0,Customer support was helpful,0
10008,2019-01-08,46,Male,Sialkot,Bachelor,Student,39860.0,2786.0,2.4,63.0,12-Month,1,Frequent call drops in my area,0
10009,2019-01-09,32,Male,Quetta,Primary,Employed,21056.0,5096.0,28.0,87.0,12-Month,2,Customer support was helpful,0
10010,2019-01-10,41,Male,Rawalpindi,Secondary,Self-Employed,37322.0,4939.0,9.2,227.0,Monthly,0,Too expensive compared to competitors,0
10011,2019-01-11,26,Female,Multan,Bachelor,Employed,17796.0,2120.0,15.3,307.0,12-Month,1,Customer support was helpful,0
10012,2019-01-12,43,Male,Gujranwala,Master,Self-Employed,23824.0,6957.0,25.6,108.0,12-Month,1,Billing issues occurred multiple times,0
10013,2019-01-13,64,Female,Hyderabad,Primary,Student,32772.0,14413.0,5.8,99.0,6-Month,1,Happy with data packages,0
10014,2019-01-14,60,Female,Quetta,Master,Unemployed,25927.0,2312.0,20.4,268.0,Monthly,0,Internet speed is very slow,0
10015,2019-01-15,44,Male,Karachi,Master,Retired,37627.0,4911.0,30.8,116.0,12-Month,1,Service is unreliable during peak hours,0
10016,2019-01-16,26,Female,Multan,Bachelor,Self-Employed,28933.0,3417.0,7.4,260.0,6-Month,2,Billing issues occurred multiple times,0
10017,2019-01-17,57,Female,Karachi,Master,Employed,24972.0,12059.0,12.0,148.0,12-Month,2,Billing issues occurred multiple times,1
10018,2019-01-18,56,Male,Sialkot,Bachelor,Unemployed,17329.0,4597.0,27.5,257.0,Monthly,1,Satisfied with the service,1
10019,2019-01-19,22,Female,Sialkot,Secondary,Self-Employed,29502.0,2235.0,19.8,223.0,12-Month,0,Frequent call drops in my area,0
10020,2019-01-20,66,Male,Faisalabad,Bachelor,Employed,17428.0,11195.0,18.6,146.0,Monthly,2,Happy with data packages,1
10021,2019-01-21,25,Male,Peshawar,Secondary,Employed,20382.0,3617.0,82.2,195.0,Monthly,2,Internet speed is very slow,1
10022,2019-01-22,62,Male,Hyderabad,Bachelor,Student,27918.0,3166.0,23.8,75.0,Monthly,0,Coverage is poor in my location,0
10023,2019-01-23,18,Female,Lahore,Bachelor,Employed,27741.0,7508.0,8.4,185.0,12-Month,0,Satisfied with the service,0
10024,2019-01-24,29,Female,Gujranwala,Secondary,Student,21326.0,5058.0,19.7,39.0,12-Month,2,Too expensive compared to competitors,0
10025,2019-01-25,24,Female,Hyderabad,Primary,Unemployed,17346.0,5873.0,16.9,106.0,6-Month,0,Billing issues occurred multiple times,0
10026,2019-01-26,37,Male,Multan,Master,Self-Employed,24475.0,1852.0,11.6,172.0,12-Month,0,Coverage is poor in my location,0
10027,2019-01-27,62,Male,Hyderabad,Bachelor,Employed,9019.0,4264.0,7.1,136.0,6-Month,1,Billing issues occurred multiple times,0
10028,2019-01-28,23,Male,Lahore,Secondary,Employed,28382.0,3117.0,20.8,39.0,Monthly,0,Customer support was helpful,0
10029,2019-01-29,42,Male,Gujranwala,Master,Employed,31379.0,5474.0,6.8,141.0,Monthly,2,Network quality is good overall,1
10030,2019-01-30,66,Female,Gujranwala,PhD,Student,49863.0,16924.0,17.8,149.0,12-Month,1,Satisfied with the service,0
10031,2019-01-31,18,Female,Islamabad,Secondary,Self-Employed,24201.0,4120.0,21.0,186.0,Monthly,0,Customer support was helpful,0
10032,2019-02-01,52,Female,Lahore,Bachelor,Employed,13680.0,5912.0,26.7,375.0,6-Month,2,Frequent call drops in my area,1
10033,2019-02-02,27,Female,Rawalpindi,Master,Employed,42365.0,2788.0,3.8,137.0,12-Month,0,Service is unreliable during peak hours,0
10034,2019-02-03,32,Male,Gujranwala,Secondary,Employed,41581.0,7204.0,45.0,210.0,12-Month,2,Too expensive compared to competitors,0
10035,2019-02-04,56,Male,Quetta,Secondary,Student,38852.0,2725.0,33.3,135.0,6-Month,3,Internet speed is very slow,1
10036,2019-02-05,22,Female,Sialkot,Secondary,Employed,20737.0,4511.0,14.4,69.0,6-Month,0,Service is unreliable during peak hours,0
10037,2019-02-06,64,Female,Sialkot,Bachelor,Employed,54974.0,4865.0,18.3,196.0,12-Month,0,Customer support was helpful,0
10038,2019-02-07,27,Male,Rawalpindi,Master,Student,33217.0,4270.0,47.7,218.0,12-Month,1,Coverage is poor in my location,0
10039,2019-02-08,41,Female,Sialkot,PhD,Employed,49914.0,5740.0,37.3,88.0,12-Month,1,Satisfied with the service,0
10040,2019-02-09,53,Male,Faisalabad,Secondary,Employed,20909.0,6880.0,17.0,66.0,Monthly,2,Service is unreliable during peak hours,1
10041,2019-02-10,21,Male,Hyderabad,Master,Employed,54465.0,5164.0,12.7,51.0,6-Month,0,Satisfied with the service,0
10042,2019-02-11,26,Female,Hyderabad,Secondary,Self-Employed,8050.0,5183.0,16.4,177.0,Monthly,0,Service is unreliable during peak hours,0
10043,2019-02-12,37,Male,Multan,Master,Self-Employed,60000.0,5374.0,12.2,278.0,6-Month,1,Happy with data packages,0
10044,2019-02-13,66,Male,Islamabad,Master,Self-Employed,67195.0,6495.0,9.2,230.0,12-Month,0,Service is unreliable during peak hours,0
10045,2019-02-14,19,Female,Rawalpindi,Primary,Self-Employed,49906.0,6235.0,24.0,256.0,6-Month,1,Frequent call drops in my area,0
10046,2019-02-15,18,Female,Gujranwala,Secondary,Employed,24197.0,2564.0,6.4,243.0,Monthly,1,Billing issues occurred multiple times,0
10047,2019-02-16,34,Female,Islamabad,Secondary,Student,16530.0,3947.0,20.4,125.0,Monthly,0,Customer support was helpful,0
10048,2019-02-17,49,Male,Karachi,Master,Employed,28286.0,4873.0,39.4,165.0,Monthly,3,Customer support was helpful,1
10049,2019-02-18,47,Female,Quetta,Secondary,Employed,40517.0,2500.0,23.5,130.0,Monthly,0,Billing issues occurred multiple times,0
10050,2019-02-19,62,Female,Rawalpindi,Bachelor,Self-Employed,47945.0,9145.0,18.3,76.0,12-Month,1,Too expensive compared to competitors,0
10051,2019-02-20,46,Male,Faisalabad,Bachelor,Employed,49077.0,2961.0,2.1,333.0,Monthly,1,Too expensive compared to competitors,1
10052,2019-02-21,25,Male,Rawalpindi,PhD,Employed,73745.0,4053.0,12.7,542.0,6-Month,3,Satisfied with the service,1
10053,2019-02-22,41,Female,Peshawar,Secondary,Employed,29536.0,9227.0,18.7,325.0,Monthly,1,Internet speed is very slow,1
10054,2019-02-23,28,Female,Quetta,Secondary,Employed,24055.0,2230.0,16.2,22.0,Monthly,3,Customer support was helpful,1
10055,2019-02-24,59,Male,Karachi,Bachelor,Unemployed,20178.0,2309.0,55.5,80.0,12-Month,2,Internet speed is very slow,0
10056,2019-02-25,53,Male,Karachi,Master,Self-Employed,15480.0,4209.0,52.9,184.0,12-Month,0,Customer support was helpful,0
10057,2019-02-26,18,Female,Peshawar,PhD,Student,43267.0,3547.0,28.6,199.0,Monthly,0,Happy with data packages,0
10058,2019-02-27,25,Male,Sialkot,Secondary,Student,32881.0,1800.0,14.2,93.0,6-Month,1,Customer support was helpful,0
10059,2019-02-28,41,Female,Islamabad,Bachelor,Employed,19100.0,23867.0,2.6,439.0,6-Month,1,Frequent call drops in my area,1
10060,2019-03-01,46,Male,Islamabad,Bachelor,Employed,6901.0,3324.0,15.7,196.0,Monthly,2,Coverage is poor in my location,1
10061,2019-03-02,50,Male,Lahore,Secondary,Student,19595.0,2705.0,5.9,167.0,6-Month,1,Billing issues occurred multiple times,0
10062,2019-03-03,39,Male,Rawalpindi,Secondary,Employed,34452.0,4378.0,31.8,54.0,Monthly,0,Internet speed is very slow,0
10063,2019-03-04,54,Male,Rawalpindi,Secondary,Employed,33819.0,1718.0,8.8,75.0,12-Month,3,Internet speed is very slow,1
10064,2019-03-05,53,Male,Lahore,Master,Self-Employed,40106.0,4198.0,2.9,102.0,12-Month,1,Billing issues occurred multiple times,0
10065,2019-03-06,51,Female,Lahore,Primary,Employed,76962.0,5901.0,6.5,309.0,12-Month,1,Happy with data packages,0
10066,2019-03-07,21,Female,Sialkot,PhD,Employed,23548.0,7572.0,25.6,169.0,Monthly,0,Frequent call drops in my area,0
10067,2019-03-08,45,Female,Islamabad,Bachelor,Employed,35138.0,23798.0,31.7,141.0,Monthly,0,Billing issues occurred multiple times,0
10068,2019-03-09,51,Female,Sialkot,Bachelor,Unemployed,59453.0,7775.0,20.2,206.0,Monthly,1,Coverage is poor in my location,0
10069,2019-03-10,37,Female,Islamabad,Bachelor,Employed,22783.0,5225.0,5.0,134.0,Monthly,2,Happy with data packages,1
10070,2019-03-11,45,Male,Lahore,Secondary,Employed,31536.0,3497.0,27.9,106.0,Monthly,2,Frequent call drops in my area,1
10071,2019-03-12,22,Female,Peshawar,Secondary,Student,17046.0,3132.0,45.7,195.0,Monthly,2,Satisfied with the service,1
10072,2019-03-13,37,Male,Islamabad,Master,Employed,5399.0,9421.0,33.3,57.0,Monthly,2,Happy with data packages,1
10073,2019-03-14,51,Male,Multan,Master,Employed,90889.0,3221.0,11.8,183.0,6-Month,3,Network quality is good overall,1
10074,2019-03-15,48,Male,Hyderabad,Primary,Employed,35378.0,9128.0,55.7,199.0,6-Month,0,Frequent call drops in my area,0
10075,2019-03-16,55,Female,Islamabad,Master,Employed,41217.0,7321.0,21.9,123.0,Monthly,1,Too expensive compared to competitors,0
10076,2019-03-17,27,Female,Lahore,Primary,Employed,21606.0,5488.0,4.4,142.0,Monthly,3,Satisfied with the service,1
10077,2019-03-18,47,Female,Karachi,Bachelor,Retired,21934.0,5590.0,26.5,154.0,Monthly,1,Customer support was helpful,1
10078,2019-03-19,35,Female,Hyderabad,Secondary,Employed,10231.0,7792.0,22.1,98.0,Monthly,1,Coverage is poor in my location,1
10079,2019-03-20,49,Male,Lahore,Primary,Retired,39375.0,4258.0,27.2,75.0,6-Month,1,Satisfied with the service,0
10080,2019-03-21,20,Male,Peshawar,Bachelor,Retired,20791.0,5425.0,59.5,45.0,Monthly,1,Service is unreliable during peak hours,1
